Model,Original,Color,Context,Drawing,Weather,Average
alexnet,60.0,40.0,42.0,26.0,51.0,39.75
squeezenet1.0,60.0,37.0,57.0,36.0,55.0,46.25
squeezenet1.1,64.0,39.0,52.0,30.0,54.0,43.75
vgg11,80.0,60.0,57.0,39.0,71.0,56.75
vgg19,82.0,58.0,62.0,39.0,69.0,57.0
vggbn,82.0,63.0,72.0,45.0,72.0,63.0
densenet121,85.0,59.0,71.0,45.0,70.0,61.25
densenet169,87.0,58.0,77.0,52.0,77.0,66.0
densenet201,83.0,62.0,71.0,47.0,67.0,61.75
resnet18,76.0,52.0,63.0,42.0,65.0,55.5
resnet34,78.0,52.0,65.0,41.0,67.0,56.25
resnet50,85.0,60.0,68.0,50.0,68.0,61.5
resnet101,88.0,70.0,81.0,63.0,75.0,72.25
resnet152,89.0,72.0,78.0,63.0,79.0,73.0
resnext50,88.0,68.0,79.0,56.0,78.0,70.25
resnext101,88.0,79.0,79.0,64.0,82.0,76.0
resnext101_64,92.0,76.0,78.0,64.0,84.0,75.5
vit_b_16,83.0,68.0,76.0,52.0,69.0,66.25
vit_b_32,81.0,62.0,68.0,53.0,65.0,62.0
vit_l_16,89.0,65.0,79.0,57.0,72.0,68.25
vit_l_32,81.0,69.0,74.0,57.0,69.0,67.25
convnext_base,88.0,76.0,82.0,64.0,81.0,75.75
swin_b,90.0,72.0,81.0,53.0,75.0,70.25
swin_v2_b,90.0,77.0,80.0,56.0,79.0,73.0
resnet50_stylized,82.0,72.0,73.0,51.0,67.0,65.75
resnet50_augmix,83.0,65.0,72.0,50.0,70.0,64.25
